# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  4 18:20:06 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name not null
# CONSTRAINT:  and hostname not null
# CONSTRAINT:  and sy_snum not null
# CONSTRAINT:  and sy_pnum not null
# CONSTRAINT:  and sy_mnum not null
# CONSTRAINT:  and disc_year not null
# CONSTRAINT:  and disc_facility not null
# CONSTRAINT:  and pl_refname not null
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null
# CONSTRAINT:  and pl_eqt not null
# CONSTRAINT:  and st_teff not null
# CONSTRAINT:  and ra not null
# CONSTRAINT:  and dec not null
# CONSTRAINT:  and sy_dist not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
CoRoT-10 b,CoRoT-10,1,1,0,2010,CoRoT,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.24060000,0.00020000,-0.00020000,0,10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0,600,23,-23,0,5075.00,75.00,-75.00,0,291.0636813,0.7460143,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,1,0,2010,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,2.99433000,0.00001100,-0.00001100,0,15.984,0.650,-0.650,0,743.72220,123.95370,-123.95370,0,1735,34,-34,0,6440.00,120.00,-120.00,0,280.6872998,5.9376586,655.0370000,24.9470000,-23.2090000
CoRoT-11 b,CoRoT-11,1,1,0,2010,CoRoT,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433000,0.00001100,-0.00001100,0,16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0,1657,55,-55,0,6440.00,120.00,-120.00,0,280.6872998,5.9376586,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,1,0,2010,CoRoT,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.82804200,0.00001300,-0.00001300,0,16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0,1442,58,-58,0,5675.00,80.00,-80.00,0,100.7656871,-1.2964437,1126.3700000,55.7450000,-55.7450000
CoRoT-12 b,CoRoT-12,1,1,0,2010,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,2.82804200,0.00001300,-0.00001300,0,15.132,0.841,-0.841,0,281.91521,25.10857,-25.10857,0,1410,28,-28,0,5675.00,80.00,-80.00,0,100.7656871,-1.2964437,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,1,0,2010,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,4.03519000,0.00003000,-0.00003000,0,14.034,0.852,-0.852,0,416.99296,30.51168,-30.51168,0,1432,39,-39,0,5945.00,90.00,-90.00,0,102.7211432,-5.0864557,1148.9300000,62.1200000,-56.1500000
CoRoT-13 b,CoRoT-13,1,1,0,2010,CoRoT,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519000,0.00003000,-0.00003000,0,9.920,0.157,-0.157,0,415.70400,20.97600,-20.97600,0,1700,,,0,5945.00,90.00,-90.00,0,102.7211432,-5.0864557,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,1,0,2010,CoRoT,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,1.51214000,0.00013000,-0.00013000,0,12.220,0.780,-0.780,0,2415.40000,190.70000,-190.70000,0,1952,66,-66,0,6035.00,100.00,-100.00,0,103.4242023,-5.5360385,1744.6000000,173.0300000,-144.9000000
CoRoT-14 b,CoRoT-14,1,1,0,2010,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,1.51214000,0.00013000,-0.00013000,0,11.411,0.886,-0.886,0,2437.75610,158.91500,-158.91500,0,1936,95,-95,0,6035.00,100.00,-100.00,0,103.4242023,-5.5360385,1744.6000000,173.0300000,-144.9000000
CoRoT-17 b,CoRoT-17,1,1,0,2011,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,3.76810000,0.00030000,-0.00030000,0,11.287,3.867,-1.031,0,781.86180,82.63580,-76.27920,0,1610,210,-70,0,5740.00,80.00,-80.00,0,278.6992360,-6.6122880,1176.1200000,57.1700000,-52.1900000
CoRoT-17 b,CoRoT-17,1,1,0,2011,CoRoT,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,3.76810000,0.00030000,-0.00030000,0,11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0,1626,31,-31,0,5740.00,80.00,-80.00,0,278.6992360,-6.6122880,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,1,0,2011,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,1.90006930,0.00000280,-0.00000280,0,14.022,0.930,-0.930,0,1039.30410,54.03110,-54.03110,0,1490,45,-45,0,5440.00,100.00,-100.00,0,98.1724172,-0.0316045,764.8890000,27.6140000,-25.7840000
CoRoT-18 b,CoRoT-18,1,1,0,2011,CoRoT,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.90006930,0.00000280,-0.00000280,0,14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0,1550,90,-90,0,5440.00,100.00,-100.00,0,98.1724172,-0.0316045,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,1,0,2011,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,3.89713000,0.00002000,-0.00002000,0,13.339,2.914,-0.773,0,346.43470,29.55819,-24.79074,0,1630,150,-40,0,6090.00,70.00,-70.00,0,97.0335983,-0.1707293,790.6630000,26.7370000,-25.0710000
CoRoT-19 b,CoRoT-19,1,1,0,2011,CoRoT,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,3.89713000,0.00002000,-0.00002000,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,2000,150,-150,0,6090.00,70.00,-70.00,0,97.0335983,-0.1707293,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,2,1,0,2008,CoRoT,<a refstr=_OUML_ZT_UUML_RK__AMP__ERDEM_2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2290O/abstract target=ref>&Ouml;zt&uuml;rk &amp; Erdem 2019</a>,1.74299750,0.00000020,-0.00000020,0,15.850,0.717,-0.717,0,1052.01730,50.85280,-50.85280,0,1535,21,-21,0,5625.00,120.00,-120.00,0,291.7770457,1.3836634,213.2830000,2.4850000,-2.4300000
CoRoT-2 b,CoRoT-2,2,1,0,2008,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,1.74299350,0.00000100,-0.00000100,0,16.365,0.347,-0.347,0,1134.65310,50.85280,-50.85280,0,1521,18,-18,0,5598.00,50.00,-50.00,0,291.7770457,1.3836634,213.2830000,2.4850000,-2.4300000
CoRoT-2 b,CoRoT-2,2,1,0,2008,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,1.74299350,0.00000100,-0.00000100,0,16.477,0.359,-0.359,0,1150.54460,50.85280,-50.85280,0,1548,22,-22,0,5696.00,70.00,-70.00,0,291.7770457,1.3836634,213.2830000,2.4850000,-2.4300000
CoRoT-20 b,CoRoT-20,1,2,0,2011,CoRoT,<a refstr=DELEUIL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.145D/abstract target=ref> Deleuil et al. 2012 </a>,9.24285000,0.00030000,-0.00030000,0,9.420,0.450,-0.450,0,1347.54000,73.10000,-73.10000,0,1002,24,-24,0,5880.00,90.00,-90.00,0,97.7204249,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-20 b,CoRoT-20,1,2,0,2011,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,9.24285000,0.00030000,-0.00030000,0,13.002,2.914,-2.914,0,1608.21980,114.41880,-114.41880,0,1100,150,-150,0,5880.00,90.00,-90.00,0,97.7204249,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-22 b,CoRoT-22,1,1,0,2014,CoRoT,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598000,0.00011000,-0.00011000,0,4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0,885,53,-280,0,5939.00,54.00,-120.00,0,280.6671392,6.2191669,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,1,0,2011,CoRoT,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,3.63130000,0.00010000,-0.00010000,0,13.227,2.130,-1.233,0,972.55980,101.70560,-98.52730,0,1710,110,-80,0,5900.00,100.00,-100.00,0,279.7826586,4.3577516,1060.9700000,45.4700000,-41.9400000
CoRoT-23 b,CoRoT-23,1,1,0,2011,CoRoT,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,3.63130000,0.00010000,-0.00010000,0,11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0,1660,,,0,5900.00,100.00,-100.00,0,279.7826586,4.3577516,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,2,0,2014,CoRoT,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,5.11340000,0.00060000,-0.00060000,0,3.700,0.400,-0.400,0,5.70000,,,1,1070,140,-140,0,4950.00,150.00,-150.00,0,101.9225430,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,2,0,2014,CoRoT,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,11.75900000,0.00630000,-0.00630000,0,5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0,850,80,-80,0,4950.00,150.00,-150.00,0,101.9225430,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,1,0,2013,CoRoT,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.86069000,0.00006000,-0.00006000,0,12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0,1330,80,-40,0,6040.00,90.00,-90.00,0,280.6296561,6.5138223,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,1,0,2013,CoRoT,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.20474000,0.00005000,-0.00005000,0,14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0,1600,80,-70,0,5590.00,100.00,-100.00,0,279.7504991,6.9697828,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,1,0,2014,CoRoT,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,3.57532000,0.00006000,-0.00006000,0,11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0,1500,130,-130,0,5900.00,120.00,-120.00,0,278.4958319,5.5383811,1010.2800000,69.2600000,-61.0360000
CoRoT-3 b,CoRoT-3,1,1,0,2008,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,4.25679940,0.00000350,-0.00000350,0,11.624,0.773,-0.773,0,6979.54680,222.48100,-222.48100,0,1695,57,-57,0,6740.00,140.00,-140.00,0,292.0552827,0.1218359,768.7710000,30.7910000,-28.5450000
CoRoT-35 b,CoRoT-35,1,1,0,2022,CoRoT,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,3.22748000,0.00008000,-0.00008000,0,18.831,1.233,-1.233,0,349.61125,117.59651,-117.59651,0,1747,62,-62,0,6390.00,130.00,-130.00,0,289.3143526,-2.7747085,1123.2100000,55.9000000,-50.9200000
CoRoT-36 b,CoRoT-36,1,1,0,2022,CoRoT,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,5.61653100,0.00002300,-0.00002300,0,15.805,1.569,-1.569,0,216.12332,149.37935,-136.66622,1,1567,35,-35,0,6730.00,140.00,-140.00,0,277.7510149,7.1833465,925.9580000,27.7960000,-26.2470000
CoRoT-4 b,CoRoT-4,1,1,0,2008,CoRoT,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,9.20205000,0.00037000,-0.00037000,0,13.340,0.670,-0.560,0,228.83000,25.43000,-25.43000,0,1074,19,-19,0,6190.00,60.00,-60.00,0,102.1946233,-0.6727861,726.4120000,15.1810000,-14.5820000
CoRoT-4 b,CoRoT-4,1,1,0,2008,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,9.20205000,0.00037000,-0.00037000,0,13.002,1.300,-0.471,0,232.33373,22.88376,-23.51942,0,1058,42,-17,0,6190.00,60.00,-60.00,0,102.1946233,-0.6727861,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,1,0,2009,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,4.03789620,0.00000190,-0.00000190,0,13.249,1.143,-1.098,0,149.38010,18.43414,-10.17056,0,1348,50,-51,0,6100.00,95.00,-95.00,0,101.2772396,0.8152163,882.4720000,25.6200000,-25.6200000
CoRoT-5 b,CoRoT-5,1,1,0,2009,CoRoT,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,4.03789620,0.00000190,-0.00000190,0,15.558,0.516,-0.527,0,148.42000,14.93700,-7.62800,0,1438,39,-39,0,6100.00,65.00,-65.00,0,101.2772396,0.8152163,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,1,0,2009,CoRoT,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,8.88659300,0.00000400,-0.00000400,0,13.068,0.392,-0.392,0,940.74000,108.06000,-108.06000,0,1017,19,-19,0,6090.00,70.00,-70.00,0,281.0725563,6.6632062,645.2940000,12.4530000,-11.9970000
CoRoT-6 b,CoRoT-6,1,1,0,2009,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,8.88659300,0.00000400,-0.00000400,0,13.283,0.471,-0.471,0,940.77680,108.06220,-108.06220,0,1025,16,-16,0,6090.00,70.00,-70.00,0,281.0725563,6.6632062,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,3,0,2009,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,0.85358500,0.00002400,-0.00002400,0,1.861,0.482,-0.482,0,6.99226,1.58915,-1.58915,0,1910,140,-140,0,5250.00,60.00,-60.00,0,100.9561682,-1.0630076,159.9060000,0.9170000,-0.9060000
